NOME_PRODUTO,URL,CATEGORIA,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),GORDURAS_TRANS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Pure Black (Double Shot),https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1/2 copo pequeno,9,1,0,0,0,0,0,0,0
Americano,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1/2 copo médio,9,1,0,0,0,0,0,0,2
True White,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo médio,109,9,6,5,4,0,0,0,115
