NOME_PRODUTO,URL,CATEGORIA,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),GORDURAS_TRANS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Hot Drip V60,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo médio (220ml),40.9,0.7,0.3,0.0,0.0,0.0,0.0,0,2.4
Cold Drip V60,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo grande (330ml),2.7,0.5,0.2,0.0,0.0,0.0,0.0,0,2.4
Cold Drip V60 + Milk,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo grande (330ml),9.2,1.0,0.5,0.3,0.3,0.0,0.0,0,9.8
Pão de Queijo,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 unidade (60g),270.0,35.0,8.5,11.0,4.3,0.0,0.0,0,425.0
Queijo Quente,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 unidade (100g),337.0,24.0,16.0,19.0,10.0,0.8,0.8,0,373.0
Misto Quente,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 unidade (100g),301.0,21.0,15.0,17.0,7.0,0.7,0.7,0,485.0
Pão de Queijo com Requeijão,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 unidade (70g),344.3,30.0,5.9,24.3,1.6,0.1,0.6,0,704.3
Pão de Queijo Recheado,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 unidade (75g),342.7,26.7,8.8,24.0,2.5,0.1,0.4,0,744.0
Brownie,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,2/3 da unidade (40g),422.5,57.5,6.3,18.5,11.8,0.0,3.5,0,190.0
Brigadeiro,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 unidade (20g),495.0,76.5,8.5,18.0,11.5,0.0,0.0,0,173.0
Banana Cake,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 fatia (60g),326.7,40.0,5.0,16.5,9.8,0.0,1.7,0,356.7
Lemon Cake,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 fatia (60g),335.0,48.3,5.8,13.2,8.7,0.0,0.0,0,213.3
Cookie Traditional,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,3/4 da unidade (30g),446.7,53.3,6.7,22.3,14.3,0.0,2.3,0,383.3
Cookie Triple Chocolate,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,3/4 da unidade (30g),453.3,50.0,7.3,24.0,15.7,0.0,2.7,0,183.3
Salted Caramel Cookie,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,3/4 da unidade (30g),403.3,50.0,6.3,19.3,13.0,0.0,2.0,0,213.3
Cookie Matcha & White Chocolate,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 unidade (45g),484.4,66.7,6.2,21.3,13.8,0.0,1.1,0,213.3
Macadâmia Cookie,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,3/4 de unidade (30g),460.0,53.3,7.3,24.0,12.3,0.0,0.0,0,400.0
Brownie com sorvete,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,130 g (1 unidade),311.2,27.5,5.8,20.5,5.5,0.0,1.4,0,74.8
Affogato Coffee,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,6=100 g (1 unidade),202.3,8.4,5.1,17.3,1.3,0.0,0.0,0,2.3
Affogato Matcha,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,100 g (1 unidade),193.3,6.9,4.4,17.3,1.3,0.0,0.0,0,10.7
Affogato Mocha,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,100 g (1 unidade),225.2,12.2,5.8,18.0,1.7,0.0,1.9,0,9.4
Affogato Chai,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,100 g (1 unidade),208.9,8.1,4.5,17.4,1.3,0.0,0.8,0,3.8
