NOME_PRODUTO,URL,CATEGORIA,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),GORDURAS_TRANS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Pure Black (Double Shot),https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1/2 copo pequeno,25.0,4.2,1.9,0.0,0.0,0.0,0.0,0,0.0
Americano,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1/2 copo médio,5.6,0.9,0.4,0.0,0.0,0.0,0.0,0,1.6
True White,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo médio,47.5,4.2,2.6,2.2,1.8,0.0,0.0,0,50.3
